Worker ID(WP),Score,Enabled
53564d402759fb7b67000042,0.93,TRUE
53564d402759fb7b67000045,0.93,TRUE
53564d412759fb7b67000048,0.93,TRUE
53564d412759fb7b6700004b,0.93,TRUE
53564d412759fb7b6700004e,0.93,TRUE
53564d422759fb7b67000051,0.93,FALSE
53564d422759fb7b67000054,0.93,FALSE
53564d422759fb7b67000057,0.93,FALSE
53564d432759fb7b6700005a,0.93,FALSE
53564d432759fb7b6700005d,0.93,FALSE
53564d432759fb7b67000060,0.93,FALSE
53564d442759fb7b67000063,0.93,FALSE
53564d442759fb7b67000066,0.93,FALSE
53564d442759fb7b67000069,0.93,FALSE
53564d452759fb7b6700006c,0.93,FALSE
53564d452759fb7b6700006f,0.93,FALSE
53564d452759fb7b67000072,0.93,FALSE
53564d462759fb7b67000075,0.93,FALSE
53564d462759fb7b67000078,0.93,FALSE
53564d462759fb7b6700007b,0.93,FALSE
