pdf_url,envelope_id,receipt_id,receipt_count,store_names,dates,totals,currencies,currency_display,payment_types,0,user_credit_card_last_4_digits,collect_tax,taxes,original_url,bad_scan_reason,doc_type,store_names,month,day,year,totals,currencies,payment_types,credit_card_last_4_digits,other_doc_title,other_doc_month,other_doc_day,other_doc_year,run_title,number_of_pages,worker_time,bad_scan,problem_loading
http://s3-ap-southeast-1.amazonaws.com/cftom/042014/313033986_1809012434%257Cdocument_534d829ee4b091f3863301af.pdf,A0KPDIUY,534d829ee4b091f3863301af,1,,,,,FALSE,Credit/Debit Card,,,TRUE,,https://s3.amazonaws.com/cache.shoeboxed/1809012434%7Cdocument_534d829ee4b091f3863301af.pdf?AWSAccessKeyId=AKIAJ4A5ED2WT4R37NFA&Expires=1398468911&Signature=CIB%2BiiyKIihN4c11s0dDfqr4Q0s%3D,,Receipt,Disco Lemonade,8,8,2013,122.5,USD,5,1234,,,,,,1,0:00:32,,
http://s3-ap-southeast-1.amazonaws.com/cftom/042014/313034004_1809012434%257Cdocument_534d82ade4b0258835dc0f72.pdf,A0KPDIUY,534d82ade4b0258835dc0f72,1,,11/30/12,,,FALSE,Credit/Debit Card,,,TRUE,,https://s3.amazonaws.com/cache.shoeboxed/1809012434%7Cdocument_534d82ade4b0258835dc0f72.pdf?AWSAccessKeyId=AKIAJ4A5ED2WT4R37NFA&Expires=1398468923&Signature=%2FkKVTycKdtLXhrP2GXFj%2BA8i0QI%3D,,Receipt,Fabricland,11,30,2012,141.93,USD,2,2345,,,,,,1,0:00:35,,
http://s3-ap-southeast-1.amazonaws.com/cftom/042014/313034006_1809012434%257Cdocument_534d82afe4b00dceb670a2f7.pdf,A0KPDIUY,534d82afe4b00dceb670a2f7,1,,,,,FALSE,Credit/Debit Card,,,TRUE,,https://s3.amazonaws.com/cache.shoeboxed/1809012434%7Cdocument_534d82afe4b00dceb670a2f7.pdf?AWSAccessKeyId=AKIAJ4A5ED2WT4R37NFA&Expires=1398468924&Signature=CLhJne6y5vffWS%2FgBKtzV0TqqYE%3D,,Receipt,No Name,3,11,2013,11.7,USD,5,3456,,,,,,1,0:00:31,,
http://s3-ap-southeast-1.amazonaws.com/cftom/042014/313034007_1809012434%257Cdocument_534d82b0e4b0cfd9f2165972.pdf,A0KPDIUY,534d82b0e4b0cfd9f2165972,1,,,,,FALSE,Credit/Debit Card,,,TRUE,,https://s3.amazonaws.com/cache.shoeboxed/1809012434%7Cdocument_534d82b0e4b0cfd9f2165972.pdf?AWSAccessKeyId=AKIAJ4A5ED2WT4R37NFA&Expires=1398468925&Signature=9F279XpaWjbghx5uINoj5Y67cQc%3D,,Receipt,Libra Room,5,11,2013,39.1,USD,5,4567,,,,,,1,0:00:31,,
http://s3-ap-southeast-1.amazonaws.com/cftom/042014/313034009_1809012434%257Cdocument_534d82b2e4b09192c69aabe6.pdf,A0KPDIUY,534d82b2e4b09192c69aabe6,1,,,,,FALSE,Credit/Debit Card,,,TRUE,,https://s3.amazonaws.com/cache.shoeboxed/1809012434%7Cdocument_534d82b2e4b09192c69aabe6.pdf?AWSAccessKeyId=AKIAJ4A5ED2WT4R37NFA&Expires=1398468926&Signature=LAsH%2F6o2xzefjb4cz8Kx9pfRw5g%3D,,Receipt,Sushi Train,11,20,2013,8.25,USD,5,5678,,,,,,1,0:00:52,,
http://s3-ap-southeast-1.amazonaws.com/cftom/042014/313034010_1809012434%257Cdocument_534d82b3e4b005cd7467e27d.pdf,A0KPDIUY,534d82b3e4b005cd7467e27d,1,,7/30/13,,,FALSE,Credit/Debit Card,,,TRUE,,https://s3.amazonaws.com/cache.shoeboxed/1809012434%7Cdocument_534d82b3e4b005cd7467e27d.pdf?AWSAccessKeyId=AKIAJ4A5ED2WT4R37NFA&Expires=1398468926&Signature=fmGuCe%2FaY3x0l3LTBBKMTH3NFJE%3D,,Receipt,Sushi Train,7,30,2013,8.57,USD,5,6789,,,,,,1,0:00:30,,
http://s3-ap-southeast-1.amazonaws.com/cftom/042014/313034016_1809012434%257Cdocument_534d82b5e4b0c83ae94c1ddc.pdf,A0KPDIUY,534d82b5e4b0c83ae94c1ddc,1,,12/3/13,,,FALSE,Cash,,,TRUE,,https://s3.amazonaws.com/cache.shoeboxed/1809012434%7Cdocument_534d82b5e4b0c83ae94c1ddc.pdf?AWSAccessKeyId=AKIAJ4A5ED2WT4R37NFA&Expires=1398468928&Signature=zxGQYirtBEaFhe1k6TAOzNUhj8c%3D,,Receipt,Sushi Train,12,3,2013,8.67,USD,5,7890,,,,,,1,0:00:44,,
http://s3-ap-southeast-1.amazonaws.com/cftom/042014/313034019_1809012434%257Cdocument_534d82b6e4b0f2fc44cdf182.pdf,A0KPDIUY,534d82b6e4b0f2fc44cdf182,1,,3/21/14,,,FALSE,Cash,,,TRUE,,https://s3.amazonaws.com/cache.shoeboxed/1809012434%7Cdocument_534d82b6e4b0f2fc44cdf182.pdf?AWSAccessKeyId=AKIAJ4A5ED2WT4R37NFA&Expires=1398468929&Signature=m%2FVN20peTq8bKk17LfMBTMxjmKs%3D,,Receipt,Sushi Train,3,21,2014,8.67,USD,5,9876,,,,,,1,0:00:38,,
http://s3-ap-southeast-1.amazonaws.com/cftom/042014/313034029_1809012434%257Cdocument_534d82b9e4b0f2fc44cdf183.pdf,A0KPDIUY,534d82b9e4b0f2fc44cdf183,1,,7/18/13,,,FALSE,Credit/Debit Card,,,TRUE,,https://s3.amazonaws.com/cache.shoeboxed/1809012434%7Cdocument_534d82b9e4b0f2fc44cdf183.pdf?AWSAccessKeyId=AKIAJ4A5ED2WT4R37NFA&Expires=1398468931&Signature=Weds2caZy04bvUm1uI8wHuz0tMs%3D,,Receipt,Sushi Train,7,18,2013,9.71,USD,5,7654,,,,,,1,0:01:02,,
http://s3-ap-southeast-1.amazonaws.com/cftom/042014/313034034_1809012434%257Cdocument_534d82bce4b089aa643328bc.pdf,A0KPDIUY,534d82bce4b089aa643328bc,1,,,27.51 || 25.49 || 11.99,,FALSE,Cash,,,TRUE,11.99,https://s3.amazonaws.com/cache.shoeboxed/1809012434%7Cdocument_534d82bce4b089aa643328bc.pdf?AWSAccessKeyId=AKIAJ4A5ED2WT4R37NFA&Expires=1398468933&Signature=LfFac%2FcosO5tlnqVCs5PkGwTE4k%3D,,Receipt,No Name,4,20,2013,27.51,USD,2,6543,,,,,,1,0:00:37,,
